config	query	hits	result_len	answer_len	tp	fp	fn	precision	sens_at_1fp	runtime	max_rss_kb
aa_group	M0108	6000	1716	178	1	1	177	0.5000	0.0056	5.81	145248
aa_group	M0109	6000	1912	212	114	1	98	0.9913	0.5377	5.66	292672
aa_group	M0111	6000	1716	11	1	1	10	0.5000	0.0909	11.23	336612
aa_group	M0117	6000	1791	121	45	1	76	0.9783	0.3719	5.47	144064
aa_group	M0118	6000	1898	108	89	1	19	0.9889	0.8241	2.52	106584
aa_group	M0121	6000	2013	55	10	1	45	0.9091	0.1818	3.89	112816
aa_group	M0122	6000	1994	29	20	1	9	0.9524	0.6897	3.88	236744
aa_group	M0123	6000	1766	29	7	1	22	0.8750	0.2414	15.06	385324
aa_group	M0125	6000	1873	40	37	1	3	0.9737	0.9250	4.66	200628
aa_group	M0131	6000	1669	48	37	1	11	0.9737	0.7708	3.31	153424
aa_group	M0134	6000	2137	56	56	1	0	0.9825	1.0000	3.36	114236
aa_group	M0136	6000	1770	11	9	1	2	0.9000	0.8182	12.42	484344
aa_group	M0139	6000	1992	78	39	1	39	0.9750	0.5000	6.76	124120
aa_group	M0141	6000	1732	27	9	1	18	0.9000	0.3333	21.37	837060
aa_group	M0142	6000	1797	15	5	1	10	0.8333	0.3333	6.28	232164
aa_group	M0154	6000	2084	63	49	1	14	0.9800	0.7778	2.32	70924
aa_group	M0159	6000	2062	161	98	1	63	0.9899	0.6087	6.07	336532
aa_group	M0163	6000	1768	55	45	1	10	0.9783	0.8182	5.73	142692
aa_group	M0172	6000	1803	20	9	1	11	0.9000	0.4500	2.20	142848
aa_group	M0175	6000	3072	830	203	1	627	0.9951	0.2446	4.02	129136
aa_group	M0178	6000	1887	303	156	1	147	0.9936	0.5149	3.65	254852
aa_group	M0181	6000	1739	9	7	1	2	0.8750	0.7778	12.31	480032
aa_group	M0188	6000	1774	120	17	1	103	0.9444	0.1417	2.13	101184
aa_group	M0194	6000	1658	70	35	1	35	0.9722	0.5000	5.68	261504
aa_group	M0201	6000	1443	45	12	1	33	0.9231	0.2667	4.13	138452
aa_group	M0202	6000	2032	1	1	1	0	0.5000	1.0000	1.46	60572
aa_group	M0205	6000	1680	263	254	1	9	0.9961	0.9658	5.81	227876
